,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",1821298,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"SICKO MODE","Travis Scott",1434682,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"Lucky You (feat. Joyner Lucas)",Eminem,1434530,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Lucid Dreams","Juice WRLD",1252512,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1195248,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
6,"Wake Up in the Sky","Gucci Mane",1070430,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
7,"In My Feelings",Drake,955156,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
8,SAD!,XXXTENTACION,954778,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
9,"Eastside (with Halsey & Khalid)","benny blanco",911621,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,Nonstop,Drake,911535,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
11,Happier,Marshmello,911155,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,"Mo Bamba","Sheck Wes",901920,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
13,Better,Khalid,899494,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
14,Moonlight,XXXTENTACION,871476,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"Taste (feat. Offset)",Tyga,805917,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Better Now","Post Malone",801215,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
17,"Yes Indeed","Lil Baby",776191,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
18,"The Ringer",Eminem,706782,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
19,"Drip Too Hard","Lil Baby",705519,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
20,"I Like It","Cardi B",680138,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
21,STARGAZING,"Travis Scott",675108,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
22,"Self Care","Mac Miller",673846,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
23,Natural,"Imagine Dragons",666836,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
24,breathin,"Ariana Grande",659993,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
25,"Jocelyn Flores",XXXTENTACION,649261,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
26,Noticed,"Lil Mosey",631704,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
27,"Girls Like You (feat. Cardi B)","Maroon 5",614626,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
28,"Be Alright","Dean Lewis",607319,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
29,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,606331,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
30,"Lean Wit Me","Juice WRLD",603932,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
31,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,593847,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
32,"SLOW DANCING IN THE DARK",Joji,591449,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
33,"All Girls Are The Same","Juice WRLD",585463,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
34,"Electricity (with Dua Lipa)","Silk City",575291,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
35,"Promises (with Sam Smith)","Calvin Harris",566569,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
36,"God is a woman","Ariana Grande",564555,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
37,"No Brainer","DJ Khaled",563562,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
38,"Psycho (feat. Ty Dolla $ign)","Post Malone",546487,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
39,"Not Alike (feat. Royce Da 5'9)",Eminem,543514,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
40,changes,XXXTENTACION,527860,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
41,Fall,Eminem,527394,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
42,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",523323,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
43,"God's Plan",Drake,519026,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
44,Thunderclouds,Sia,518491,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
45,"Drew Barrymore","Bryce Vine",508448,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
46,Youngblood,"5 Seconds of Summer",507069,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
47,"Nice For What",Drake,492308,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
48,"rockstar (feat. 21 Savage)","Post Malone",480539,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
49,"RAP DEVIL","Machine Gun Kelly",476326,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
50,"Beautiful (feat. Camila Cabello)",Bazzi,473427,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
51,"Body (feat. brando)","Loud Luxury",455967,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
52,Greatest,Eminem,451363,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
53,"Look Alive (feat. Drake)","BlocBoy JB",446688,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
54,YOSEMITE,"Travis Scott",443942,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
55,"WORKIN ME",Quavo,442423,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
56,"Taking A Walk","Trippie Redd",441167,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
57,"I Fall Apart","Post Malone",441047,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
58,"Leave Me Alone","Flipp Dinero",434488,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
59,REMEDY,Alesso,424418,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
60,"Pretty Little Fears (feat. J. Cole)",6LACK,424418,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
61,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",411703,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
62,"Everybody Dies In Their Nightmares",XXXTENTACION,409709,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
63,"no tears left to cry","Ariana Grande",405756,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
64,Kamikaze,Eminem,401688,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
65,Trip,"Ella Mai",390542,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
66,"Love Lies (with Normani)",Khalid,386779,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
67,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",382500,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
68,"lovely (with Khalid)","Billie Eilish",380445,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
69,"In My Mind",Dynoro,378937,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
70,"Ric Flair Drip (& Metro Boomin)",Offset,376549,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
71,BEBE,6ix9ine,376155,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
72,"Balenciaga Challenge (feat. Offset)",6LACK,361705,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv
73,"High Hopes","Panic! At The Disco",359571,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
74,"Jackie Chan",Tiësto,357268,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
75,"Te Boté - Remix","Nio Garcia",354163,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
76,"REEL IT IN",Aminé,351340,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
77,Hope,XXXTENTACION,351246,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
78,"XO TOUR Llif3","Lil Uzi Vert",345175,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
79,OTW,Khalid,339517,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
80,"Feels Like Summer","Childish Gambino",338528,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
81,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,335660,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
82,"East Atlanta Love Letter (feat. Future)",6LACK,330297,https://open.spotify.com/track/6rJmWa5DvQ3Nby3tdcX2L0
83,Lust,"Lil Skies",330095,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
84,"I'm Upset",Drake,327879,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
85,"Plug Walk","Rich The Kid",327090,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
86,SWISH,Tyga,325365,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
87,"Look At Me!",XXXTENTACION,324662,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
88,"Magic In The Hamptons (feat. Lil Yachty)","Social House",319454,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
89,Legends,"Juice WRLD",315321,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
90,"Mob Ties",Drake,314654,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
91,Normal,Eminem,313753,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
92,"Ball For Me (feat. Nicki Minaj)","Post Malone",309922,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
93,"Happy Now",Zedd,309885,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
94,"I'm a Mess","Bebe Rexha",308155,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
95,"I Like Me Better",Lauv,306474,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
96,Ladders,"Mac Miller",301382,https://open.spotify.com/track/39NDBdU5Xkm5pCFGa5kZtI
97,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",301170,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
98,"BUTTERFLY EFFECT","Travis Scott",300710,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
99,"Vaina Loca",Ozuna,297878,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
100,Mine,Bazzi,295526,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
101,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",294951,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
102,"Boo'd Up","Ella Mai",294908,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
103,"Candy Paint","Post Malone",294677,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
104,"Venom - Music From The Motion Picture",Eminem,293636,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
105,"Chanel (Go Get It) [feat. Gunna & Lil Baby]","Young Thug",292370,https://open.spotify.com/track/0kCBorRrKZkSztd9m0QI3r
106,Switch,6LACK,289322,https://open.spotify.com/track/29ZZAShKhwRUuKULSNtxX6
107,"8 Letters","Why Don't We",288140,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
108,"Stepping Stone",Eminem,287275,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
109,JAPAN,"Famous Dex",282532,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
110,Congratulations,"Post Malone",279759,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
111,"Shake It Up","Trippie Redd",278625,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
112,HUMBLE.,"Kendrick Lamar",278479,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
113,"Nephew (feat. Lil Pump)",Smokepurpp,278335,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
114,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",277379,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
115,"Nowadays (feat. Landon Cube)","Lil Skies",272856,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
116,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",271423,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
117,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",271066,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
118,"CAN'T SAY","Travis Scott",270025,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
119,"Loaded Gun",6LACK,269828,https://open.spotify.com/track/1wb7Mqon4o1ViLjaLV9f8U
120,"Ned Flanders (feat. A$AP Ferg)",MadeinTYO,269307,https://open.spotify.com/track/6f5i916F3jU6BhOOD7iGqf
121,goosebumps,"Travis Scott",268976,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
122,"All Mine","Kanye West",268364,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
123,"No Rest","Lil Skies",267759,https://open.spotify.com/track/0chpIFSjgfd1CPrAxM7PWp
124,"Call Out My Name","The Weeknd",267393,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
125,"Walk It Talk It",Migos,267135,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
126,"Hurt Feelings","Mac Miller",267120,https://open.spotify.com/track/5p7GiBZNL1afJJDUrOA6C8
127,"Red Roses (feat. Landon Cube)","Lil Skies",265572,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
128,"Bounce Out With That","YBN Nahmir",263638,https://open.spotify.com/track/5gQcxYXqnofyocKgEbGYKt
129,"You Make It Easy","Jason Aldean",263435,https://open.spotify.com/track/6EGAfJaLUFzhS4zRBIEQ2J
130,"Young Dumb & Broke",Khalid,263392,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
131,Simple,"Florida Georgia Line",262675,https://open.spotify.com/track/1co0puPTYvqAdUEjFOjne9
132,Location,Khalid,261875,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
133,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",261448,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
134,"I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo)","YoungBoy Never Broke Again",260517,https://open.spotify.com/track/4O1uCappFiU3bisYUdUBWy
135,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",259944,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
136,"The Flute Song",Russ,257434,https://open.spotify.com/track/6pGuOWYOFDcSgmVvFWRWSv
137,"Good Guy (feat. Jessie Reyez)",Eminem,256364,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
138,"Tie Me Down (with Elley Duhé)",Gryffin,254831,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
139,Nonchalant,6LACK,254266,https://open.spotify.com/track/7c3K8ifIoaVZ2MSUuGo0Co
140,"Let Her Go",6LACK,254011,https://open.spotify.com/track/0CIGZEXjZ8L52lOrqUljJt
141,"Life Goes On","Lil Baby",253101,https://open.spotify.com/track/2bSk87AVkCIIC3Bcligq1z
142,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",252303,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
143,"WAKE UP","Travis Scott",252004,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
144,"Come Back to Earth","Mac Miller",251616,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR
145,Narcos,Migos,251045,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
146,Unfair,6LACK,250259,https://open.spotify.com/track/3Q33RhbyoFul9LdKKjticI
147,Tequila,"Dan + Shay",249762,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
148,Thunder,"Imagine Dragons",249745,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
149,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",248085,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
150,Heaven,"Kane Brown",247459,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
151,sweetener,"Ariana Grande",244459,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
152,"Don’t Matter To Me (with Michael Jackson)",Drake,243977,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
153,idontwannabeyouanymore,"Billie Eilish",242616,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
154,"YEAH RIGHT",Joji,241010,https://open.spotify.com/track/5gFmgXPCLu9xIfMUXSbRru
155,"The Middle",Zedd,240922,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
156,"Best Part",H.E.R.,240692,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
157,Stay,"Post Malone",240365,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
158,"Champion (feat. Travis Scott)",NAV,240100,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
159,Speechless,"Dan + Shay",240022,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
160,Believer,"Imagine Dragons",238642,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
161,"Want To","Dua Lipa",236249,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
162,broken,lovelytheband,236170,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX
163,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",236003,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
164,"Black & White","Juice WRLD",235809,https://open.spotify.com/track/1R0Ig5KYrSGWvIoPzY4T3l
165,2009,"Mac Miller",235259,https://open.spotify.com/track/6dFn6my1sHK2bcf23GlHwM
166,Betrayed,"Lil Xan",234216,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug
167,"All The Stars (with SZA)","Kendrick Lamar",233566,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
168,Sorry,6LACK,233085,https://open.spotify.com/track/2xRyZfWe9bnRfH1ZfhYO98
169,Havana,"Camila Cabello",233001,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
170,"This Is America","Childish Gambino",231609,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
171,1-800-273-8255,Logic,231529,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
172,NUMB,XXXTENTACION,231458,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
173,"One Kiss (with Dua Lipa)","Calvin Harris",231322,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
174,"You Say","Lauren Daigle",230212,https://open.spotify.com/track/3ngc7rGlfeFaskU90EWl4R
175,CAROUSEL,"Travis Scott",229670,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
176,"Let You Down",NF,229209,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
177,APESHIT,"The Carters",227389,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
178,"Creep On Me",GASHI,227379,https://open.spotify.com/track/1MUL6DO2gVimj2YrVedubd
179,"Barbie Dreams","Nicki Minaj",226995,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
180,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",225384,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
181,"Beautiful Crazy","Luke Combs",224930,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
