Position,Track Name,Artist,Streams,URL,Day Start Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
24,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,634261,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,2018-01-23,0.0393,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.659,174800,0.717,False,https://i.scdn.co/image/05c542421f2f9808db5bc99a11fd77e003fc65aa,0.0,8,0.0769,-4.202,1,31,0.0581,103.036,4,0.71
25,Sick Boy,The Chainsmokers,633142,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0,2018-01-23,0.104,Sick Boy,0.548,193893,0.58,False,https://i.scdn.co/image/12328cad2427a0d5fd8559bd1f9d9728065ab75d,0.0,11,0.127,-7.524,0,23,0.121,180.066,4,0.462
26,IDGAF,Dua Lipa,613695,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-01-23,0.0403,Dua Lipa (Deluxe),0.836,217947,0.544,True,https://i.scdn.co/image/3382e00150206b35b73097191ed6ecbcaa7a9a89,0.0,7,0.0824,-5.975,1,86,0.0943,97.028,4,0.51
27,Plain Jane,A$AP Ferg,604326,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9,2018-01-23,0.0651,Still Striving,0.797,173600,0.844,True,https://i.scdn.co/image/338e8f6a727ac686e3eb3de21a54c5ef6e10c68a,0.0,11,0.087,-5.482,1,80,0.275,170.142,4,0.52
28,MotorSport,Migos,596564,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q,2018-01-23,0.0519,MotorSport,0.901,307660,0.529,True,https://i.scdn.co/image/948c0ead3b5b6cd47f0f6eb4dbca075efac0d392,0.0,2,0.179,-4.443,1,10,0.191,138.003,4,0.146
29,Bank Account,21 Savage,584631,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,2018-01-23,0.0151,Issa Album,0.884,220307,0.346,True,https://i.scdn.co/image/e0c1774d0cea9d3f5761877e54b6156d48a8e398,7.04e-06,8,0.0871,-8.228,0,83,0.351,75.016,4,0.376
30,Congratulations,Post Malone,580867,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2018-01-23,0.215,Stoney (Deluxe),0.63,220293,0.804,True,https://i.scdn.co/image/642a2144f2355ff17a0e0b9bb60e5013bafb59d9,0.0,6,0.253,-4.183,1,86,0.0363,123.146,4,0.492
31,Betrayed,Lil Xan,575716,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG,2018-01-23,0.416,Betrayed,0.823,187453,0.419,True,https://i.scdn.co/image/2ee9195ad4ba4fa83f1af30ae367405091dfc8b9,0.0,10,0.105,-10.358,0,77,0.165,119.958,4,0.277
32,Perfect,Ed Sheeran,569010,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-01-23,0.163,÷ (Deluxe),0.599,263400,0.448,False,https://i.scdn.co/image/89aa98e9adeea8a55845e615f76a9e2eac120b39,0.0,8,0.106,-6.312,1,88,0.0232,95.05,3,0.168
33,HUMBLE.,Kendrick Lamar,565759,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2018-01-23,0.000282,DAMN.,0.908,177000,0.621,True,https://i.scdn.co/image/72a11ced4752d3e6b9106839b650afc696c63d5a,5.39e-05,1,0.0958,-6.638,0,85,0.102,150.011,4,0.421
34,Wolves,Selena Gomez,550679,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-01-23,0.139,Wolves,0.715,197993,0.802,False,https://i.scdn.co/image/e2e2cfcda75efbbeab4dce8a6bc3e3b6e0464cf6,0.0,11,0.177,-4.647,0,30,0.0394,124.989,4,0.327
35,Young Dumb & Broke,Khalid,539712,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2018-01-23,0.199,American Teen,0.798,202547,0.539,False,https://i.scdn.co/image/3f2cc8df9f891830695c00446ce86bd892e60886,1.66e-05,1,0.165,-6.351,1,85,0.0421,136.949,4,0.394
36,Nowadays (feat. Landon Cube),Lil Skies,537102,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp,2018-01-23,0.157,Life of a Dark Rose,0.745,203908,0.646,True,https://i.scdn.co/image/e5eea949b07222706328ba45f8fa495e0cac94ef,0.0,6,0.338,-6.987,0,76,0.17,79.993,4,0.46
37,This Is Me,Keala Settle,529248,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,2018-01-23,0.00583,This Is Me,0.284,234707,0.704,False,https://i.scdn.co/image/4cf8ca7bf42c2ea957a27ef330a6744cda9a34e7,0.000115,2,0.0424,-7.276,1,70,0.186,191.702,4,0.1
38,Gucci Gang,Lil Pump,521591,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,2018-01-23,0.239,Lil Pump,0.936,124056,0.523,True,https://i.scdn.co/image/4d5883687a23b4b2b4a4c6ea940c84f11fb7fdee,0.0,5,0.117,-6.71,1,78,0.0597,119.889,4,0.699
39,I Get The Bag (feat. Migos),Gucci Mane,519705,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0,2018-01-23,0.0232,Mr. Davis,0.89,233087,0.633,True,https://i.scdn.co/image/55823eb40a5a6293320d1a9411306254c5e1c90e,0.000343,11,0.0993,-5.475,1,79,0.168,139.948,4,0.425
40,Too Good At Goodbyes,Sam Smith,513886,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2018-01-23,0.652,The Thrill Of It All (Special Edition),0.698,201000,0.375,False,https://i.scdn.co/image/518bbac98f1967daeee2c5ecb9f957f4fd415dbc,0.0,5,0.173,-8.279,1,84,0.0491,91.92,4,0.534
41,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,508903,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH,2018-01-23,0.000874,"King's Dead (with Kendrick Lamar, Future & James Blake)",0.563,229670,0.717,True,https://i.scdn.co/image/d4a6afd50c327f549dda2e112985ee233f5bd908,0.0,1,0.183,-5.186,1,78,0.337,82.064,4,0.427
42,1-800-273-8255,Logic,495375,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,2018-01-23,0.57,Everybody,0.62,250173,0.574,True,https://i.scdn.co/image/3df14cbaac20470a0b8523420eeae52e6849960f,0.0,5,0.19,-7.788,0,83,0.0479,100.021,4,0.352
43,New Rules,Dua Lipa,494413,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-23,0.00261,Dua Lipa (Deluxe),0.762,209320,0.7,False,https://i.scdn.co/image/3382e00150206b35b73097191ed6ecbcaa7a9a89,1.56e-05,9,0.153,-6.021,0,86,0.0694,116.073,4,0.608
44,Tell Me You Love Me,Demi Lovato,484054,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj,2018-01-23,0.0247,Tell Me You Love Me,0.516,236987,0.592,False,https://i.scdn.co/image/cb5af8e3c961e6ed13e18601410ee1f42a5c2e9e,0.0,3,0.181,-5.465,0,16,0.0566,82.05,4,0.271
45,Roll In Peace (feat. XXXTENTACION),Kodak Black,482241,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,2018-01-23,0.0306,Project Baby 2,0.747,213132,0.524,True,https://i.scdn.co/image/3d461dd2722e109db7e55b69ab8cd6fbfd6041b0,0.0,10,0.2,-6.807,0,82,0.245,140.053,4,0.363
46,Location,Khalid,468709,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2018-01-23,0.33,American Teen,0.736,219080,0.449,False,https://i.scdn.co/image/3f2cc8df9f891830695c00446ce86bd892e60886,0.000162,1,0.0898,-11.462,0,83,0.425,80.126,4,0.326
47,Mine,Bazzi,465855,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,2018-01-23,0.014,Mine,0.716,133995,0.805,True,https://i.scdn.co/image/b625a050e7146e04216d1a632397a15e020996e6,3.1e-06,4,0.291,-3.839,1,24,0.0856,142.886,4,0.719
48,My My My!,Troye Sivan,465659,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO,2018-01-23,0.00433,My My My!,0.699,204727,0.479,False,https://i.scdn.co/image/640f0bff07940a50ff549567300c114622b85d31,9.58e-05,1,0.0435,-7.83,1,19,0.0919,102.959,4,0.462
49,Bodak Yellow,Cardi B,465076,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,2018-01-23,0.0672,Bodak Yellow,0.929,223962,0.723,True,https://i.scdn.co/image/c6f9f7b2e71ae63388ec99bcc658eb173ed97bcc,0.0,11,0.346,-5.792,0,73,0.109,125.022,4,0.458
50,Wanted You (feat. Lil Uzi Vert),NAV,452572,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1,2018-01-23,0.168,Wanted You (feat. Lil Uzi Vert),0.793,228080,0.718,True,https://i.scdn.co/image/c4d1617d666f928a05eade9a660a97755f2a4b8d,0.0,9,0.241,-4.966,0,75,0.0547,146.885,4,0.649
51,goosebumps,Travis Scott,446732,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2018-01-23,0.0847,Birds In The Trap Sing McKnight,0.841,243837,0.728,True,https://i.scdn.co/image/ea447323073c2208e8cf64b0fc3250cc37c71c6c,0.0,7,0.149,-3.37,1,85,0.0484,130.049,4,0.43
52,Wait,Maroon 5,444963,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59,2018-01-23,0.0889,Red Pill Blues (Deluxe),0.659,190643,0.604,False,https://i.scdn.co/image/abb3bc8412c67d8d303cbd49a6c4031b0a43e9f2,0.0,8,0.105,-5.084,1,20,0.0542,126.135,4,0.407
53,End Game,Taylor Swift,443334,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX,2018-01-23,0.00845,reputation,0.649,244827,0.589,False,https://i.scdn.co/image/790a5152a158b8088b7e7fd5730c450d07c3fc49,0.0,2,0.108,-6.237,1,75,0.0558,159.073,4,0.151
54,Thunder,Imagine Dragons,438406,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2018-01-23,0.00683,Evolve,0.6,187147,0.81,False,https://i.scdn.co/image/37ffb5905818e873b3b7905274669b8a5d277810,0.21,0,0.155,-4.749,1,30,0.0479,167.88,4,0.298
55,Silence,Marshmello,426051,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,2018-01-23,0.256,Silence,0.52,180823,0.761,False,https://i.scdn.co/image/575096dbcc1e23cca60ec973168fa4cc16a4c4de,4.96e-06,4,0.17,-3.093,1,84,0.0853,141.971,4,0.286
56,KEKE,6ix9ine,418254,https://open.spotify.com/track/0zl3PdjIl320fK0pxBGWNR,2018-01-23,0.0363,KEKE,0.597,151915,0.857,True,https://i.scdn.co/image/e702018d643b92d2f4302347e49ea9ddc54f2e9d,0.0,2,0.407,-5.759,1,61,0.28,187.964,4,0.493
57,Real Friends,Camila Cabello,411554,https://open.spotify.com/track/3iq9nhbI8fcnNamxMft1uv,2018-01-23,0.839,Camila,0.726,214387,0.304,False,https://i.scdn.co/image/ac7215afbceb58c8a7f3713eaf9d00ff3d959779,0.0,3,0.0853,-8.677,1,68,0.131,91.97,4,0.813
58,BUTTERFLY EFFECT,Travis Scott,407133,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX,2018-01-23,0.0714,BUTTERFLY EFFECT,0.763,190678,0.598,False,https://i.scdn.co/image/b64598a5480c6a0bf81e36694437ef8e188509bf,0.0,11,0.112,-6.865,1,30,0.0539,140.987,4,0.182
59,Jocelyn Flores,XXXTENTACION,402856,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2018-01-23,0.469,17,0.872,119133,0.391,True,https://i.scdn.co/image/46bc351f18dbb3dddcf451fa962737c3a2aff0ff,4.13e-06,0,0.297,-9.144,0,90,0.242,134.021,4,0.437
60,Bad At Love,Halsey,397498,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl,2018-01-23,0.0604,hopeless fountain kingdom (Deluxe),0.675,181279,0.751,False,https://i.scdn.co/image/9373fab2538eefd183cdd8ae086726b7ddeee001,0.0,0,0.0893,-3.539,1,80,0.0296,118.384,4,0.612
61,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,395917,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,2018-01-23,0.617,Luv Is Rage 2,0.703,221747,0.757,True,https://i.scdn.co/image/ead73f726959b82d78c41d28ca41edfef92b1c87,0.0,1,0.106,-3.612,1,80,0.05,82.008,4,0.696
62,Unforgettable,French Montana,394563,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,2018-01-23,0.0293,Jungle Rules,0.726,233902,0.769,True,https://i.scdn.co/image/c1c6a9a2ac434944f64adf3c7f197460791c872a,0.0101,6,0.104,-5.043,1,84,0.123,97.985,4,0.733
63,Fuck Love (feat. Trippie Redd),XXXTENTACION,387520,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,2018-01-23,0.0172,17,0.797,146520,0.533,True,https://i.scdn.co/image/46bc351f18dbb3dddcf451fa962737c3a2aff0ff,0.000152,0,0.103,-9.74,0,87,0.0412,131.036,4,0.329
64,Red Roses (feat. Landon Cube),Lil Skies,387394,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY,2018-01-23,0.547,Life of a Dark Rose,0.691,262544,0.683,True,https://i.scdn.co/image/e5eea949b07222706328ba45f8fa495e0cac94ef,0.0,0,0.221,-7.335,1,80,0.0954,140.002,4,0.456
