,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,4708015,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Diplomatic Immunity",Drake,1216409,https://open.spotify.com/track/3tvkzvUTF0yoq3pdBi81I0
3,rockstar,"Post Malone",1198377,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",960768,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
5,"I Fall Apart","Post Malone",941006,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
6,"No Limit",G-Eazy,915402,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
7,"Ric Flair Drip (& Metro Boomin)",Offset,908417,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
8,Havana,"Camila Cabello",888274,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
9,"All The Stars (with SZA)","Kendrick Lamar",882899,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
10,"Bartier Cardi (feat. 21 Savage)","Cardi B",836077,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
11,"Never Be the Same","Camila Cabello",827379,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
12,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",794241,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
13,"Him & I (with Halsey)",G-Eazy,793143,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
14,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",788236,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
15,"Let You Down",NF,775290,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
16,"Stir Fry",Migos,741795,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm
17,"LOVE. FEAT. ZACARI.","Kendrick Lamar",736629,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
18,"Rewrite The Stars","Zac Efron",712459,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
19,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",706525,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
20,"Sky Walker (feat. Travis Scott)",Miguel,693469,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
21,IDGAF,"Dua Lipa",667646,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
22,"Candy Paint","Post Malone",664529,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
23,"XO TOUR Llif3","Lil Uzi Vert",653972,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
24,"River (feat. Ed Sheeran)",Eminem,639830,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
25,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",636371,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
26,"Sick Boy","The Chainsmokers",631710,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
27,"Plain Jane","A$AP Ferg",611697,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
28,MotorSport,Migos,598427,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
29,"Bank Account","21 Savage",593065,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
30,Congratulations,"Post Malone",589785,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
31,Betrayed,"Lil Xan",588241,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
32,HUMBLE.,"Kendrick Lamar",578829,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
33,Wolves,"Selena Gomez",564931,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
34,Perfect,"Ed Sheeran",563705,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
35,"Nowadays (feat. Landon Cube)","Lil Skies",563007,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
36,Mine,Bazzi,560996,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
37,"This Is Me","Keala Settle",550029,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
38,"Young Dumb & Broke",Khalid,539901,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
39,"Gucci Gang","Lil Pump",530361,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
40,"I Get The Bag (feat. Migos)","Gucci Mane",526939,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
41,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",519491,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
42,"Too Good At Goodbyes","Sam Smith",516890,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
43,"New Rules","Dua Lipa",502937,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
44,1-800-273-8255,Logic,499671,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
45,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",498145,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
46,"Bodak Yellow","Cardi B",473598,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
47,Location,Khalid,469019,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
48,"Tell Me You Love Me","Demi Lovato",467649,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
49,"Wanted You (feat. Lil Uzi Vert)",NAV,466148,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1
50,goosebumps,"Travis Scott",439980,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
51,KEKE,6ix9ine,436680,https://open.spotify.com/track/0zl3PdjIl320fK0pxBGWNR
52,Thunder,"Imagine Dragons",428901,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
53,Silence,Marshmello,424789,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
54,Wait,"Maroon 5",423768,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
55,"Real Friends","Camila Cabello",423545,https://open.spotify.com/track/3iq9nhbI8fcnNamxMft1uv
56,"Jocelyn Flores",XXXTENTACION,418872,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
57,"BUTTERFLY EFFECT","Travis Scott",418220,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
58,"End Game","Taylor Swift",417092,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
59,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",404914,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
60,Unforgettable,"French Montana",403417,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
61,"Red Roses (feat. Landon Cube)","Lil Skies",400852,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
62,"Bad At Love",Halsey,400082,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
63,"My My My!","Troye Sivan",398517,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
64,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,397545,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
65,"Sorry Not Sorry","Demi Lovato",392181,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
66,"I Miss You (feat. Julia Michaels)","Clean Bandit",390071,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
67,"What Lovers Do (feat. SZA)","Maroon 5",378009,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
68,"Slippery (feat. Gucci Mane)",Migos,368603,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
69,"Ice Tray","Quality Control",363794,https://open.spotify.com/track/3wdfLVUhmX64lIyWIIEW8s
70,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",362613,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
71,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",358560,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
72,"Rubbin Off The Paint","YBN Nahmir",358285,https://open.spotify.com/track/0taOCiup4HNG9LmbduVlJj
73,Saint,"Huncho Jack",352523,https://open.spotify.com/track/7foypmc7KZyU716Yv63BPe
74,DNA.,"Kendrick Lamar",352043,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
75,"Shape of You","Ed Sheeran",347628,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
76,"The Greatest Show","Hugh Jackman",336500,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
77,"Go Flex","Post Malone",327585,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
78,"i Shyne",Carnage,324553,https://open.spotify.com/track/0AcHbiMs86CCgprvc7E1gs
79,Filthy,"Justin Timberlake",323651,https://open.spotify.com/track/1L3NV7VrCiuE8C5QlhdeQL
80,Believer,"Imagine Dragons",320678,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
81,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",319651,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
82,Passionfruit,Drake,319563,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
83,GUMMO,6ix9ine,316816,https://open.spotify.com/track/2vjmyyAnDUzilFYxOlTdO1
84,"Feel It Still","Portugal. The Man",312851,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
85,"Never Enough","Loren Allred",311281,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
