,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,4324386,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Diplomatic Immunity",Drake,1258469,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh
3,rockstar,"Post Malone",1176358,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",968266,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
5,"No Limit",G-Eazy,928829,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
6,"I Fall Apart","Post Malone",922630,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
7,Havana,"Camila Cabello",910711,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
8,"All The Stars (with SZA)","Kendrick Lamar",904769,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
9,"Ric Flair Drip (& Metro Boomin)",Offset,889881,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
10,"Bartier Cardi (feat. 21 Savage)","Cardi B",839528,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
11,"Never Be the Same","Camila Cabello",816280,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
12,"Him & I (with Halsey)",G-Eazy,809165,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
13,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",791458,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
14,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",752743,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
15,"LOVE. FEAT. ZACARI.","Kendrick Lamar",751424,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
16,"Let You Down",NF,729633,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
17,"Stir Fry",Migos,706713,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm
18,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",687263,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
19,"Rewrite The Stars","Zac Efron",671885,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
20,"Candy Paint","Post Malone",661274,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
21,"XO TOUR Llif3","Lil Uzi Vert",642710,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
22,"Sky Walker (feat. Travis Scott)",Miguel,637027,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
23,"River (feat. Ed Sheeran)",Eminem,635050,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
24,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",634261,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
25,"Sick Boy","The Chainsmokers",633142,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
26,IDGAF,"Dua Lipa",613695,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
27,"Plain Jane","A$AP Ferg",604326,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
28,MotorSport,Migos,596564,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
29,"Bank Account","21 Savage",584631,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
30,Congratulations,"Post Malone",580867,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
31,Betrayed,"Lil Xan",575716,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
32,Perfect,"Ed Sheeran",569010,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
33,HUMBLE.,"Kendrick Lamar",565759,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
34,Wolves,"Selena Gomez",550679,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
35,"Young Dumb & Broke",Khalid,539712,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
36,"Nowadays (feat. Landon Cube)","Lil Skies",537102,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
37,"This Is Me","Keala Settle",529248,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
38,"Gucci Gang","Lil Pump",521591,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
39,"I Get The Bag (feat. Migos)","Gucci Mane",519705,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
40,"Too Good At Goodbyes","Sam Smith",513886,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
41,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",508903,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
42,1-800-273-8255,Logic,495375,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
43,"New Rules","Dua Lipa",494413,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
44,"Tell Me You Love Me","Demi Lovato",484054,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
45,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",482241,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
46,Location,Khalid,468709,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
47,Mine,Bazzi,465855,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
48,"My My My!","Troye Sivan",465659,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
49,"Bodak Yellow","Cardi B",465076,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
50,"Wanted You (feat. Lil Uzi Vert)",NAV,452572,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1
51,goosebumps,"Travis Scott",446732,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
52,Wait,"Maroon 5",444963,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
53,"End Game","Taylor Swift",443334,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
54,Thunder,"Imagine Dragons",438406,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
55,Silence,Marshmello,426051,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
56,KEKE,6ix9ine,418254,https://open.spotify.com/track/0zl3PdjIl320fK0pxBGWNR
57,"Real Friends","Camila Cabello",411554,https://open.spotify.com/track/3iq9nhbI8fcnNamxMft1uv
58,"BUTTERFLY EFFECT","Travis Scott",407133,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
59,"Jocelyn Flores",XXXTENTACION,402856,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
60,"Bad At Love",Halsey,397498,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
61,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",395917,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
62,Unforgettable,"French Montana",394563,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
63,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,387520,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
64,"Red Roses (feat. Landon Cube)","Lil Skies",387394,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
65,"Sorry Not Sorry","Demi Lovato",387104,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
66,"What Lovers Do (feat. SZA)","Maroon 5",364423,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
67,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",362696,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
68,"Slippery (feat. Gucci Mane)",Migos,360302,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
69,"I Miss You (feat. Julia Michaels)","Clean Bandit",359904,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
70,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",348893,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
71,"Ice Tray","Quality Control",346223,https://open.spotify.com/track/3wdfLVUhmX64lIyWIIEW8s
72,Filthy,"Justin Timberlake",346139,https://open.spotify.com/track/1L3NV7VrCiuE8C5QlhdeQL
73,DNA.,"Kendrick Lamar",345831,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
74,Saint,"Huncho Jack",343067,https://open.spotify.com/track/7foypmc7KZyU716Yv63BPe
75,"Rubbin Off The Paint","YBN Nahmir",340880,https://open.spotify.com/track/0taOCiup4HNG9LmbduVlJj
76,"The Greatest Show","Hugh Jackman",339780,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
77,"Shape of You","Ed Sheeran",339428,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
78,"Go Flex","Post Malone",325178,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
