,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Wow.,"Post Malone",1720027,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
2,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1603132,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
3,"SICKO MODE","Travis Scott",1208471,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Going Bad (feat. Drake)","Meek Mill",1193039,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
5,"thank u, next","Ariana Grande",1155461,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1109590,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1069179,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
8,"Mo Bamba","Sheck Wes",1003513,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
9,"Without Me",Halsey,1002073,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
10,"Leave Me Alone","Flipp Dinero",813873,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
11,"a lot","21 Savage",748496,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
12,"Lucid Dreams","Juice WRLD",746495,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
13,"Wake Up in the Sky","Gucci Mane",730883,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
14,"Look Back At It","A Boogie Wit da Hoodie",699978,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
15,SAD!,XXXTENTACION,663662,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,monster,"21 Savage",656742,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
17,imagine,"Ariana Grande",630627,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
18,Money,"Cardi B",629717,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
19,"whoa (mind in awe)",XXXTENTACION,612876,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
20,"Better Now","Post Malone",612144,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",609709,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
22,Happier,Marshmello,602074,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,Moonlight,XXXTENTACION,574797,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,Better,Khalid,573055,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
25,Nonstop,Drake,556518,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
26,"Saturday Nights",Khalid,548557,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
27,"Armed And Dangerous","Juice WRLD",544251,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
28,"MIA (feat. Drake)","Bad Bunny",539181,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
29,BAD!,XXXTENTACION,534026,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
30,"when the party's over","Billie Eilish",533867,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
31,"Eastside (with Halsey & Khalid)","benny blanco",515419,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
32,"High Hopes","Panic! At The Disco",503828,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
33,"Taste (feat. Offset)",Tyga,492615,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
34,"I Like It","Cardi B",477945,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
35,"all my friends","21 Savage",465581,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
36,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",465535,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
37,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,460096,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
38,"KIKA (feat. Tory Lanez)",6ix9ine,454322,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
39,"Jocelyn Flores",XXXTENTACION,453584,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
