,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,4509921,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,Emotionless,Drake,3433745,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
3,Survival,Drake,3203964,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
4,Elevate,Drake,3174394,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
5,"Don’t Matter To Me",Drake,3085768,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
6,"I'm Upset",Drake,3083474,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Mob Ties",Drake,2932635,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
8,"8 Out Of 10",Drake,2928398,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
9,"Talk Up",Drake,2813151,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
10,"God's Plan",Drake,2688858,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
11,"Can’t Take A Joke",Drake,2681332,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
12,"In My Feelings",Drake,2544452,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
13,"Nice For What",Drake,2435388,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
14,"Sandra’s Rose",Drake,2296187,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
15,"Summer Games",Drake,2076556,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
16,"Is There More",Drake,1950154,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
17,Jaded,Drake,1894252,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
18,Peak,Drake,1848792,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
19,"Blue Tint",Drake,1837299,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
20,"Lucid Dreams","Juice WRLD",1803416,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
21,SAD!,XXXTENTACION,1774525,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
22,Finesse,Drake,1728075,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
23,"That’s How You Feel",Drake,1670045,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
24,"After Dark",Drake,1616051,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
25,"Ratchet Happy Birthday",Drake,1519033,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
26,"March 14",Drake,1379915,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
27,Moonlight,XXXTENTACION,1357031,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
28,"Final Fantasy",Drake,1280881,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
29,"I Like It","Cardi B",1264553,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
30,"Yes Indeed","Lil Baby",1056262,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
31,"Better Now","Post Malone",1025378,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
32,"Girls Like You (feat. Cardi B)","Maroon 5",1007829,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
33,"Taste (feat. Offset)",Tyga,1004378,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
34,"Jocelyn Flores",XXXTENTACION,916118,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
35,changes,XXXTENTACION,881511,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
36,"Psycho (feat. Ty Dolla $ign)","Post Malone",841630,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
37,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,746135,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
38,"All Girls Are The Same","Juice WRLD",724524,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
39,"All Mine","Kanye West",720301,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
40,"Look Alive (feat. Drake)","BlocBoy JB",717934,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
41,APESHIT,"The Carters",680618,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
42,"no tears left to cry","Ariana Grande",645331,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
43,"Jackie Chan",Tiësto,630545,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
44,"rockstar (feat. 21 Savage)","Post Malone",628706,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
45,"One Kiss (with Dua Lipa)","Calvin Harris",590494,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
46,"Everybody Dies In Their Nightmares",XXXTENTACION,587260,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
47,"Ocean (feat. Khalid)","Martin Garrix",574968,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
48,"Back To You","Selena Gomez",573847,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
49,"Bed (feat. Ariana Grande)","Nicki Minaj",550154,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
50,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,546063,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
51,"Ric Flair Drip (& Metro Boomin)",Offset,519134,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
52,"Ball For Me (feat. Nicki Minaj)","Post Malone",506175,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
53,"Plug Walk","Rich The Kid",506080,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
54,"This Is America","Childish Gambino",504459,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
55,Youngblood,"5 Seconds of Summer",498523,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
56,"Walk It Talk It",Migos,494222,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
57,"Te Boté - Remix","Nio Garcia",489989,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
58,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",476458,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
59,Hope,XXXTENTACION,473097,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
60,"Boo'd Up","Ella Mai",469069,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
61,"I Fall Apart","Post Malone",465456,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
62,Mine,Bazzi,452757,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
63,"lovely (with Khalid)","Billie Eilish",447090,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
64,"Look At Me!",XXXTENTACION,446808,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
65,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",443607,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
66,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,441498,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
67,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",437609,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
68,JAPAN,"Famous Dex",434371,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
69,"Solo (feat. Demi Lovato)","Clean Bandit",420917,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
70,"Candy Paint","Post Malone",406019,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
71,NUMB,XXXTENTACION,391424,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
72,"High Hopes","Panic! At The Disco",389034,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
73,Nevermind,"Dennis Lloyd",378351,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
74,"Love Lies (with Normani)",Khalid,375305,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
75,Yikes,"Kanye West",374296,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
76,"Born To Be Yours",Kygo,374271,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
77,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",369937,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
78,OTW,Khalid,368908,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
79,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",368202,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
80,"XO TOUR Llif3","Lil Uzi Vert",359666,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
81,Simple,"Florida Georgia Line",357216,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
82,"Start Again (feat. Logic)",OneRepublic,352834,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
83,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",343547,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
84,"The Middle",Zedd,342021,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
85,"Freaky Friday (feat. Chris Brown)","Lil Dicky",340232,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
86,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",338657,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
87,Tequila,"Dan + Shay",333738,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
88,KOD,"J. Cole",332650,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
89,"Stir Fry",Migos,331982,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
90,Paranoid,"Post Malone",330794,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
91,"Spoil My Night (feat. Swae Lee)","Post Malone",329452,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
92,"New Light","John Mayer",323098,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
93,"Rich & Sad","Post Malone",321216,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
94,"Playinwitme (feat. Kehlani)",KYLE,321140,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
95,Stay,"Post Malone",315734,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
96,Congratulations,"Post Malone",315416,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
97,"Call Out My Name","The Weeknd",311593,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
98,HUMBLE.,"Kendrick Lamar",309054,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
